recomendacao_destinatario,sigla,qtde_ocorr,perc_ocorr
AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,ANAC,1041,82.75
DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO,DECEA,45,3.58
PRIMEIRO SERVIÇO REGIONAL DE INVESTIGAÇÃO E PREVENÇÃO DE ACIDENTES AERONÁUTICOS,SERIPA-1,37,2.94
SINDICATO NACIONAL DAS EMPRESAS DE AVIAÇÃO AGRÍCOLA,SINDAG,15,1.19
QUINTO SERVIÇO REGIONAL DE INVESTIGAÇÃO E PREVENÇÃO DE ACIDENTES AERONÁUTICOS,SERIPA-5,11,0.87
ASSOCIAÇÃO DE PILOTOS E PROPRIETÁRIOS DE AERONAVES,APPA,7,0.56
ASSOCIAÇÃO BRASILEIRA DE PILOTOS DE HELICÓPTEROS,ABRAPHE,6,0.48
SÉTIMO SERVIÇO REGIONAL DE INVESTIGAÇÃO E PREVENÇÃO DE ACIDENTES AERONÁUTICOS,SERIPA-7,6,0.48
EMPRESA BRASILEIRA DE INFRAESTRUTURA AEROPORTUÁRIA,INFRAERO,5,0.4
CENTRO DE INVESTIGAÇÃO E PREVENÇÃO DE ACIDENTES AERONÁUTICOS,CENIPA,4,0.32
OPERADOR DA AERONAVE,DIVERSOS-J,4,0.32
SEGUNDO SERVIÇO REGIONAL DE INVESTIGAÇÃO E PREVENÇÃO DE ACIDENTES AERONÁUTICOS,SERIPA-2,4,0.32
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS",ANP,2,0.16
DAESP - DEPARTAMENTO AEROVIÁRIO DO ESTADO DE SÃO PAULO,DAESP,2,0.16
AGÊNCIA NACIONAL DE ENERGIA ELÉTRICA,ANEEL,2,0.16
ASSOCIAÇÃO BRASILEIRA DE AVIAÇÃO GERAL,ABAG,2,0.16
"SERIPA I, II, III, IV, V, VI E VII",SERIPAS,2,0.16
SEXTO SERVIÇO REGIONAL DE INVESTIGAÇÃO E PREVENÇÃO DE ACIDENTES AERONÁUTICOS,SERIPA-6,2,0.16
FEDERAL AVIATION ADMINISTRATION,FAA,2,0.16
EMPRESA BRASILEIRA DE PETRÓLEO,PETROBRÁS,2,0.16
AM TRANSPORTES,AMTRANS,1,0.08
AEROCLUBE DE NOVO HAMBURGO,AEROC-NVH,1,0.08
AEROMOT INDÚSTRIA MECÂNICO METALÚRGICA LTDA,AEROMOT,1,0.08
AEROCLUBES E ESCOLAS DE AVIAÇÃO,DIVERSOS-Y,1,0.08
AEROCLUBE DE SANTA CRUZ DO SUL,AEROC-STS,1,0.08
AEROCLUBE DE PARÁ DE MINAS,AEROC-PMI,1,0.08
AEROCLUBE DE CANELA,AEROC-CAN,1,0.08
AEROCLUBE DE MONTENEGRO,AEROC MONT,1,0.08
AERO AGRÍCOLA SANTOS DUMONT,SANTOS DUMONT,1,0.08
ADMINISTRAÇÃO DO AERÓDROMO DE ANÁPOLIS,SBAN,1,0.08
ACADEMIA DA FORÇA AÉREA,AFA,1,0.08
GOL LINHAS AÉREAS INTELIGENTES,GOL,1,0.08
AGRO AÉREA VILA VELHA,VILA VELHA,1,0.08
DIRETORIA DE PORTOS E COSTA DA MARINHA DO BRASIL,MB,1,0.08
ASSOCIAÇÃO BRASILEIRA DE AERONAVES ANTIGAS E CLÁSSICAS,ABAAC,1,0.08
AVIANCA LINHAS AÉREAS,AVIANCA,1,0.08
AVIAÇÃO AGRÍCOLA LMC,LMC,1,0.08
BRÁS FLIGHT-ESCOLA BRASILEIRA DE AVIAÇÃO CIVIL,BRÁS FLIGHT,1,0.08
CENTRO NACIONAL DE PARAQUEDISMO,CNP,1,0.08
COOPERATIVA AGRÍCOLA IMEMBUY LTDA,IMEMBUY,1,0.08
DESTACAMENTO DE CONTROLE DO ESPAÇO AÉREO DE SALVADOR,DTCEA-SV,1,0.08
DIRECCÍON NACIONAL DE AVIACIÓN CIVIL E INFRAESTRUCTURA AERONÁUTICA DO URUGUAI,DINACIA,1,0.08
CORPO DE BOMBEIROS MILITAR DO DF,CB-DF,1,0.08
DIRETORIA DE SAÚDE DA AERONÁUTICA,DIRSA,1,0.08
EJ ESCOLA DE AERONÁUTICA CIVIL,EJ,1,0.08
EMPRESA BRASILEIRA DE AERONÁUTICA,EMBRAER,1,0.08
EUROPEAN AVIATION SAFETY AGENCY,EASA,1,0.08
GOLDEN FLY ESCOLA DE PILOTAGEM,GOLDENFLY,1,0.08
QUARTO SERVIÇO REGIONAL DE INVESTIGAÇÃO E PREVENÇÃO DE ACIDENTES AERONÁUTICOS,SERIPA-4,1,0.08
ICARAÍ TAXÍ AÉREO LTDA,ICARAÍ,1,0.08
VIAÇÃO AÉREA RIO GRANDENSE,VARIG,1,0.08
PRATT & WHITNEY CANADENSE,PRATT & WHITNEY,1,0.08
OCEANAIR TÁXI AÉREO,OCEANAIR-TPX,1,0.08
ORGANIZAÇÃO INTERNACIONAL DE AVIAÇÃO CIVIL (ICAO),OACI,1,0.08
OFICINAS DE MANUTENÇÃO NA ÁREA SERIPA I,OFICINAS SERIPA-1,1,0.08
OFICINA MOTORMEC,MOTORMEC,1,0.08
OFICINA META LINHAS AÉREAS,META OFC,1,0.08
MÔNACO MOTOCENTER COMERCIAL,MÔNACO,1,0.08
NACIONAL ESCOLA DE PILOTAGEM,NACIONAL ESC,1,0.08
LÍDER TÁXI AÉREO,LIDER,1,0.08
LYCOMING ENGINES,LYCOMING,1,0.08
LET AIRCRAFT INDUSTRIES,LET,1,0.08
JM TÁXI AÉREO,JM,1,0.08
PASSAREDO LINHAS AÉREAS,PASSAREDO,1,0.08
STILUS TÁXI AÉREO LTDA,STILUS,1,0.08
PREFEITURA MUNICIPAL DE CANUTAMA-AM,PREF-CANUTAMA,1,0.08
PREFEITURA MUNICIPAL DE MORTUGABA,PREF-MORTUGABA,1,0.08
PREFEITURA MUNICIPAL DE UIRAMUTÃ,PREF-UIRAMUTÃ,1,0.08
PROPRIETÁRIO DA AERONAVE,DIVERSOS-AB,1,0.08
SECRETARIA NACIONAL DE SEGURANÇA PÚBLICA,SENASP,1,0.08
SECRETÁRIA DE SEGURANÇA PÚBLICA DO ESTADO DE GOIÁS,SSP-GO,1,0.08
SERAGRI SERVIÇO AEROAGRÍCOLA LTDA,SERAGRI,1,0.08
HERINGER TÁXI AÉREO LTDA,HERINGER,1,0.08
TERCEIRO CENTRO INTEGRADO DE DEFESA AÉREA E CONTROLE DE TRÁFEGO AÉREO,CINDACTA-3,1,0.08
TERCEIRO SERVIÇO REGIONAL DE INVESTIGAÇÃO E PREVENÇÃO DE ACIDENTES AERONÁUTICOS,SERIPA-3,1,0.08
TODOS AEROCLUBES,AEROC,1,0.08
VILLELA AGRO AÉREA,VILLELA,1,0.08
